,STOCKS,BONDS,COMMODITIES,REAL-ESTATE,MMF,final_equity_return,max_drawdown,sharpe_ratio,volatility,final_equity_return_norm,max_drawdown_norm,sharpe_ratio_norm,volatility_norm,total_metric_growth,total_metric_balanced,total_metric_income
0,0,0,0,5,95,35.47645713722153,-71.2539408672369,0.28917908350726707,0.30568221309891813,-1.909432190901235,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-1.2253840344595275,-1.0693892066735045,-0.42933948173612957
1,0,0,0,10,90,45.1538142991559,-71.2539408672369,0.28917908350726707,0.30568221309891813,-1.7187286568184987,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-1.1204970907140226,-1.0026429697445465,-0.4102691283278559
2,0,0,0,15,85,54.883431341257335,-71.2539408672369,0.28917908350726707,0.30568221309891813,-1.526995281254061,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-1.0150437341535818,-0.9355362882969933,-0.3910957907714121
3,0,0,0,20,80,64.58609337404394,-71.2539408672369,0.28917908350726707,0.30568221309891813,-1.3357930853755182,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.9098825264203831,-0.8686155197395034,-0.37197557118355795
4,0,0,0,25,75,74.1777067674874,-71.2539408672369,0.28917908350726707,0.30568221309891813,-1.1467792315849497,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.8059249068355705,-0.8024606709128044,-0.353074185804501
5,0,0,0,30,70,83.57040048912822,-71.2539408672369,0.28917908350726707,0.30568221309891813,-0.9616853203754564,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.7041232556703492,-0.7376778019894819,-0.3345647946835517
6,0,0,0,35,65,92.67377507033962,-71.2539408672369,0.28917908350726707,0.30568221309891813,-0.7822927780040067,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.6054573573660518,-0.6748904121594743,-0.3166255404464067
7,0,0,0,40,60,101.39627699639604,-71.2539408672369,0.28917908350726707,0.30568221309891813,-0.6104057725429058,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.5109195043624464,-0.6147299602480889,-0.2994368399002967
8,0,0,0,45,55,109.64667137829484,-71.2539408672369,0.28917908350726707,0.30568221309891813,-0.44782219317546235,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.4214985357103524,-0.5578257074694837,-0.28317848196355233
9,0,0,0,50,50,117.33558143678198,-71.2539408672369,0.28917908350726707,0.30568221309891813,-0.2963033128797698,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.33816315154772153,-0.5047940993659914,-0.268026593933983
10,0,0,0,55,45,124.37705980526816,-71.2539408672369,0.28917908350726707,0.30568221309891813,-0.15754282408439277,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.2618448827102641,-0.45622792828760944,-0.25415054505444534
11,0,0,0,60,40,130.6901541086528,-71.2539408672369,0.28917908350726707,0.30568221309891813,-0.03313598712391924,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.19342112238200365,-0.41268553535144376,-0.241709861358398
12,0,0,0,65,35,136.20042784009692,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.07545034039978421,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.13369864224396671,-0.37468032071814744,-0.2308512286060277
13,0,0,0,70,30,140.84139733785946,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.16690602091086598,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.08339801796287177,-0.34267083253926883,-0.22170566055491947
14,0,0,0,75,25,144.55584671611626,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.2401035490946252,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.04313937746180424,-0.31705169767495317,-0.21438590773654354
15,0,0,0,80,20,147.29698493386218,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.2941208532806897,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.013429860159468732,-0.2981456412098306,-0.20898417731793717
16,0,0,0,85,15,149.02941274998977,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.3282603504130588,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,0.005346863263334278,-0.2861968172135014,-0.20557022760470023
17,0,0,0,90,10,149.72987201483008,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.3420637117079664,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,0.012938711975533479,-0.28136564076028375,-0.2041898914752095
18,0,0,0,95,5,149.38775544500857,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.3353219083579922,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,0.009230720133047654,-0.2837252719327747,-0.20486407181020694
19,0,0,0,100,0,148.00536153184018,-71.2539408672369,0.28917908350726707,0.30568221309891813,0.30808023479729674,-2.0175092781986685,-0.8334409765619364,2.9411825757833947,-0.005752200325334855,-0.29325985767901813,-0.20758823916627644
20,0,0,5,0,95,28.42177021861096,-74.03022031778335,0.11165403546488158,0.24006775401694885,-2.048452969478903,-2.2468458340433717,-2.829634477681435,1.5882997668051269,-1.8707729271756768,-1.9978697966342795,-1.2724355844002444
21,0,0,5,5,90,38.059500996720544,-60.09096206328772,0.2678654895704016,0.21503597931588345,-1.8585303191965528,-1.095383405257008,-1.0731032561750788,1.0721778914577684,-1.2939020484358943,-1.1379306432856957,-0.5705825723930321
22,0,0,5,10,85,47.81049088785906,-61.61944208996173,0.2881695178099673,0.23550760390981745,-1.666375766881419,-1.221644594463247,-0.8447931125344432,1.494275541464926,-1.1192844293146635,-0.9738104725417085,-0.4506851516140979
