DateTime,Open,High,Low,Close,Volume
2024-01-18 00:00:00,1.08814,1.08834,1.08792,1.08815,4629
2024-01-18 01:00:00,1.08817,1.08863,1.08812,1.08863,2101
2024-01-18 02:00:00,1.08863,1.08943,1.08799,1.08939,5010
2024-01-18 03:00:00,1.08941,1.09008,1.0892,1.0896,9158
2024-01-18 04:00:00,1.08962,1.09027,1.08927,1.08932,4357
2024-01-18 05:00:00,1.08932,1.08981,1.08903,1.08953,4675
2024-01-18 06:00:00,1.08952,1.08963,1.08909,1.08941,3142
2024-01-18 07:00:00,1.08941,1.08963,1.089,1.08948,4217
2024-01-18 08:00:00,1.08947,1.09069,1.08944,1.09041,7692
2024-01-18 09:00:00,1.09041,1.09066,1.08865,1.08883,8794
2024-01-18 10:00:00,1.08883,1.0889,1.08775,1.08798,9127
2024-01-18 11:00:00,1.08798,1.08995,1.08767,1.08846,8826
2024-01-18 12:00:00,1.08845,1.08961,1.08829,1.0895,6217
2024-01-18 13:00:00,1.0895,1.08954,1.08847,1.08892,5897
2024-01-18 14:00:00,1.08892,1.08941,1.08744,1.08776,10188
2024-01-18 15:00:00,1.08776,1.08778,1.08503,1.08524,22248
2024-01-18 16:00:00,1.08524,1.08692,1.08491,1.08596,23144
2024-01-18 17:00:00,1.08596,1.08682,1.08465,1.08522,21199
2024-01-18 18:00:00,1.08522,1.08702,1.08503,1.08618,14082
2024-01-18 19:00:00,1.08617,1.08646,1.08499,1.08596,12185
2024-01-18 20:00:00,1.08596,1.08658,1.0854,1.08636,10332
2024-01-18 21:00:00,1.08637,1.08693,1.08601,1.08617,8867
2024-01-18 22:00:00,1.08617,1.08695,1.08605,1.08684,6661
2024-01-18 23:00:00,1.08683,1.08771,1.08675,1.08757,3242
2024-01-19 00:00:00,1.0876,1.08762,1.08591,1.08731,4437
2024-01-19 01:00:00,1.0874,1.08805,1.0874,1.08799,2025
2024-01-19 02:00:00,1.08799,1.08819,1.08774,1.08798,3216
2024-01-19 03:00:00,1.08798,1.08872,1.0876,1.08855,4891
2024-01-19 04:00:00,1.08855,1.08895,1.08824,1.08879,4514
2024-01-19 05:00:00,1.08881,1.08893,1.08852,1.08889,2513
2024-01-19 06:00:00,1.08889,1.08893,1.08851,1.08863,1415
2024-01-19 07:00:00,1.08863,1.08873,1.08793,1.08808,3961
2024-01-19 08:00:00,1.08808,1.08824,1.08755,1.0881,5419
2024-01-19 09:00:00,1.08811,1.08864,1.08742,1.08794,9058
2024-01-19 10:00:00,1.08795,1.08819,1.0868,1.08773,7640
2024-01-19 11:00:00,1.08772,1.08849,1.08714,1.08829,7609
2024-01-19 12:00:00,1.08829,1.08851,1.0873,1.0881,5976
2024-01-19 13:00:00,1.0881,1.08931,1.08791,1.08872,5191
2024-01-19 14:00:00,1.08871,1.08882,1.08799,1.08826,6902
2024-01-19 15:00:00,1.08826,1.08896,1.08753,1.08803,12897
2024-01-19 16:00:00,1.08804,1.08838,1.08654,1.08807,16014
2024-01-19 17:00:00,1.08813,1.08905,1.08699,1.08825,21541
2024-01-19 18:00:00,1.08824,1.08881,1.08806,1.08864,11922
2024-01-19 19:00:00,1.08864,1.08935,1.088,1.08897,11468
2024-01-19 20:00:00,1.08896,1.08965,1.08855,1.0892,6799
2024-01-19 21:00:00,1.08922,1.08949,1.08879,1.08923,7626
2024-01-19 22:00:00,1.08924,1.08958,1.08897,1.08943,5621
2024-01-19 23:00:00,1.08942,1.08974,1.0893,1.08968,4139
2024-01-22 00:00:00,1.08898,1.08947,1.08832,1.0892,6545
2024-01-22 01:00:00,1.08928,1.08979,1.08904,1.08919,2859
2024-01-22 02:00:00,1.08919,1.09016,1.0891,1.09011,4095
2024-01-22 03:00:00,1.0901,1.0905,1.08986,1.09018,4667
2024-01-22 04:00:00,1.09018,1.09093,1.08994,1.09072,4259
2024-01-22 05:00:00,1.09072,1.09077,1.09011,1.09019,2920
2024-01-22 06:00:00,1.09019,1.09046,1.09006,1.09029,2488
2024-01-22 07:00:00,1.09028,1.09046,1.08979,1.09015,3869
2024-01-22 08:00:00,1.09015,1.09096,1.09011,1.09049,6109
2024-01-22 09:00:00,1.09049,1.09081,1.08974,1.08977,7761
2024-01-22 10:00:00,1.08977,1.09009,1.08871,1.08918,9419
2024-01-22 11:00:00,1.08918,1.09023,1.08899,1.0897,6267
2024-01-22 12:00:00,1.0897,1.08971,1.08858,1.0887,5982
2024-01-22 13:00:00,1.0887,1.08906,1.08816,1.08899,6205
2024-01-22 14:00:00,1.08899,1.08994,1.08879,1.08926,10326
