DateTime,Open,High,Low,Close,Volume
2024-01-18 00:00:00,1.08814,1.08814,1.08804,1.08804,5
2024-01-18 00:01:00,1.088,1.08811,1.088,1.08802,11
2024-01-18 00:02:00,1.088,1.08804,1.088,1.08804,5
2024-01-18 00:03:00,1.08816,1.08816,1.088,1.08805,10
2024-01-18 00:04:00,1.08805,1.08805,1.08803,1.08803,2
2024-01-18 00:05:00,1.08803,1.08805,1.08802,1.08805,6
2024-01-18 00:06:00,1.08805,1.08814,1.08805,1.08805,3
2024-01-18 00:07:00,1.08805,1.08805,1.08805,1.08805,1
2024-01-18 00:08:00,1.08805,1.08805,1.08805,1.08805,1
2024-01-18 00:09:00,1.08805,1.08805,1.08805,1.08805,1
2024-01-18 00:10:00,1.08805,1.08807,1.08805,1.08807,2
2024-01-18 00:11:00,1.08807,1.08807,1.088,1.088,3
2024-01-18 00:12:00,1.088,1.088,1.088,1.088,1
2024-01-18 00:13:00,1.088,1.088,1.088,1.088,1
2024-01-18 00:14:00,1.088,1.088,1.088,1.088,1
2024-01-18 00:15:00,1.088,1.08818,1.088,1.08818,25
2024-01-18 00:16:00,1.08817,1.08819,1.08812,1.08816,96
2024-01-18 00:17:00,1.08816,1.08816,1.08816,1.08816,1
2024-01-18 00:18:00,1.08816,1.08817,1.08811,1.08814,148
2024-01-18 00:19:00,1.08814,1.08817,1.08801,1.08814,27
2024-01-18 00:20:00,1.08814,1.08819,1.0881,1.0881,38
2024-01-18 00:21:00,1.0881,1.08816,1.08808,1.08814,91
2024-01-18 00:22:00,1.08814,1.08815,1.08812,1.08815,4
2024-01-18 00:23:00,1.08815,1.08822,1.08815,1.08817,49
2024-01-18 00:24:00,1.08816,1.08821,1.08816,1.08819,57
2024-01-18 00:25:00,1.08819,1.08821,1.08814,1.08814,10
2024-01-18 00:26:00,1.08814,1.08814,1.08814,1.08814,1
2024-01-18 00:27:00,1.08814,1.08814,1.08804,1.08805,32
2024-01-18 00:28:00,1.08805,1.08807,1.08804,1.08805,8
2024-01-18 00:29:00,1.08805,1.08809,1.08804,1.08805,14
2024-01-18 00:30:00,1.08807,1.0881,1.08803,1.08805,37
2024-01-18 00:31:00,1.08804,1.08808,1.08796,1.08803,204
2024-01-18 00:32:00,1.08804,1.08806,1.08799,1.08804,45
2024-01-18 00:33:00,1.08804,1.08805,1.08799,1.08802,54
2024-01-18 00:34:00,1.08801,1.08803,1.088,1.08802,11
2024-01-18 00:35:00,1.08803,1.08813,1.08802,1.08806,184
2024-01-18 00:36:00,1.08805,1.0881,1.08805,1.08808,78
2024-01-18 00:37:00,1.08808,1.08815,1.08797,1.08815,65
2024-01-18 00:38:00,1.08812,1.08822,1.08812,1.08821,32
2024-01-18 00:39:00,1.08821,1.08821,1.08798,1.08811,28
2024-01-18 00:40:00,1.08811,1.08815,1.08796,1.08808,106
2024-01-18 00:41:00,1.08808,1.08808,1.08795,1.08802,70
2024-01-18 00:42:00,1.08802,1.08802,1.08796,1.08796,11
2024-01-18 00:43:00,1.08796,1.088,1.08796,1.08799,21
2024-01-18 00:44:00,1.08799,1.088,1.08799,1.088,2
2024-01-18 00:45:00,1.08793,1.08802,1.08793,1.088,23
2024-01-18 00:46:00,1.088,1.08811,1.08795,1.08806,558
2024-01-18 00:47:00,1.08805,1.08813,1.08803,1.0881,259
2024-01-18 00:48:00,1.08806,1.08813,1.08798,1.08812,105
2024-01-18 00:49:00,1.08812,1.08817,1.08809,1.08815,32
2024-01-18 00:50:00,1.08815,1.08834,1.08815,1.08829,118
2024-01-18 00:51:00,1.08829,1.08832,1.08822,1.08822,64
2024-01-18 00:52:00,1.08822,1.08826,1.0882,1.0882,27
2024-01-18 00:53:00,1.0882,1.08825,1.08819,1.08819,110
2024-01-18 00:54:00,1.08823,1.08824,1.08819,1.0882,51
2024-01-18 00:55:00,1.08823,1.08823,1.08816,1.08816,84
2024-01-18 00:56:00,1.08816,1.08817,1.08813,1.08815,664
2024-01-18 00:57:00,1.08815,1.08818,1.08796,1.08808,569
2024-01-18 00:58:00,1.08808,1.08817,1.08792,1.08815,161
2024-01-18 00:59:00,1.08815,1.08819,1.08797,1.08815,202
2024-01-18 01:00:00,1.08817,1.08834,1.08816,1.0883,150
2024-01-18 01:01:00,1.08829,1.08835,1.08824,1.08831,46
2024-01-18 01:02:00,1.08833,1.08834,1.08826,1.08834,13
2024-01-18 01:03:00,1.08834,1.08836,1.08822,1.08822,47
2024-01-18 01:04:00,1.08822,1.08829,1.08817,1.08822,59
2024-01-18 01:05:00,1.08823,1.08826,1.08814,1.0882,64
2024-01-18 01:06:00,1.08821,1.08826,1.08812,1.08821,57
2024-01-18 01:07:00,1.08825,1.08832,1.08822,1.0883,36
2024-01-18 01:08:00,1.0883,1.0883,1.0882,1.08826,11
2024-01-18 01:09:00,1.08825,1.08825,1.08812,1.0882,83
2024-01-18 01:10:00,1.08814,1.08826,1.08812,1.08824,61
